;name;normal_name;description;link
0;pat_id;Patient ID;The Patients ID in the dataset;
1;rel_time;Relative Time;The relative time since the patient has entered the ICU;
2;af_vital;Atrial fibrillation;Atrial fibrillation (A-fib) is an irregular and often very rapid heart rhythm (arrhythmia) that can lead to blood clots in the heart. A-fib increases the risk of stroke, heart failure and other heart-related complications.;https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/symptoms-causes/syc-20350624
3;alt_labor;Alanine Transaminase;Alanine transaminase (ALT), also known as alanine aminotransferase, is an enzyme that’s mainly found in your liver, though it exists in other parts of your body.;https://my.clevelandclinic.org/health/diagnostics/22028-alanine-transaminase-alt
4;ast_labor;Aspartate transaminase;AST is an enzyme that is normally present in the liver, heart, brain, pancreas, kidneys, and many other muscles and tissues in the body. Enzymes like AST help facilitate fundamental biological processes in these organs and tissues.;https://en.wikipedia.org/wiki/Aspartate_transaminase
5;albumin_labor;Albumin;Albumin helps move many small molecules through the blood, including bilirubin, calcium, progesterone, and medicines. It plays an important role in keeping the fluid in the blood from leaking into the tissues.;https://www.ucsfhealth.org/medical-tests/albumin-blood-(serum)-test
6;alk_labor;???;???;???
7;alpha_blocker_med;Alpha blockers;Alpha blockers are a type of blood pressure medication. They lower blood pressure by preventing a hormone called norepinephrine from tightening the muscles in the walls of smaller arteries and veins.;https://www.mayoclinic.org/diseases-conditions/high-blood-pressure/in-depth/alpha-blockers/art-20044214
8;barbiturat_med;Barbiturates;Barbiturates belong to the group of medicines called central nervous system (CNS) depressants (medicines that cause drowsiness). They act on the brain and CNS to produce effects that may be helpful or harmful. ;https://www.mayoclinic.org/drugs-supplements/barbiturate-oral-route-parenteral-route-rectal-route/description/drg-20069290
9;basophile_labor;Basophilia;Basophils are one of the five white blood cell types that protect your body from infections or respond to intruders like parasites, fungi and cancer cells. ;https://my.clevelandclinic.org/health/diseases/22099-basophilia
10;benzodiazepin_med;Benzodiazepines;Benzodiazepines (BZD, BDZ, BZs), are a class of psychoactive drugs. As depressants—drugs which lower brain activity—they are prescribed to treat conditions such as anxiety, insomnia, and seizures.;https://en.wikipedia.org/wiki/Benzodiazepine
11;bili_bga;Bilirubin;Bilirubin is a red-orange compound that occurs in the normal catabolic pathway that breaks down heme in vertebrates. This catabolism is a necessary process in the body's clearance of waste products that arise from the destruction of aged or abnormal red blood cells.;https://en.wikipedia.org/wiki/Bilirubin
12;ck_mb_labor;creatine kinase MB (Heart);Creatine kinase MB, is a subtype of the enzyme Creatine kinase, that origins in the Heart. ;https://www.wikidoc.org/index.php/Creatine_kinase
13;ck_labor;creatine kinase;Creatine kinase, also known as phosphocreatine kinase is an enzyme expressed by various tissue types. It catalyses the conversion of creatine to phosphocreatine, consuming adenosine triphosphate (ATP) and generating adenosine diphosphate (ADP).;https://www.wikidoc.org/index.php/Creatine_kinase
14;cpp_vital;Cerebral perfusion pressure;Cerebral perfusion pressure (CPP) is the net pressure gradient that drives oxygen delivery to cerebral tissue. It is the difference between the mean arterial pressure (MAP) and the intracranial pressure (ICP);https://www.ncbi.nlm.nih.gov/books/NBK537271/
15;crp_labor;C-reactive protein;A type of protein that is associated with inflammation in the body, CRP is measured using a small blood sample drawn from a vein in your arm.;https://www.testing.com/tests/c-reactive-protein-crp/
16;ca_bga;???;???;???
