

Epoch 0: 100%|████████████████████████████████████████████████████| 109/109 [00:07<00:00, 15.07batch/s, loss=107.7585, val_loss=29.3187]


Epoch 1: 100%|█████████████████████████████████████████████████████| 109/109 [00:06<00:00, 16.83batch/s, loss=71.6945, val_loss=27.5903]



Epoch 2: 100%|█████████████████████████████████████████████████████| 109/109 [00:06<00:00, 17.30batch/s, loss=63.9363, val_loss=23.0378]


Epoch 3: 100%|█████████████████████████████████████████████████████| 109/109 [00:06<00:00, 16.64batch/s, loss=63.7205, val_loss=22.4032]


Epoch 4: 100%|█████████████████████████████████████████████████████| 109/109 [00:06<00:00, 17.61batch/s, loss=71.8680, val_loss=27.6172]


Epoch 5: 100%|█████████████████████████████████████████████████████| 109/109 [00:06<00:00, 17.25batch/s, loss=71.7046, val_loss=22.8618]


Epoch 6: 100%|█████████████████████████████████████████████████████| 109/109 [00:06<00:00, 17.21batch/s, loss=67.0950, val_loss=23.8155]


Epoch 7: 100%|█████████████████████████████████████████████████████| 109/109 [00:06<00:00, 16.93batch/s, loss=77.7568, val_loss=29.0850]


Epoch 8: 100%|█████████████████████████████████████████████████████| 109/109 [00:06<00:00, 17.81batch/s, loss=82.4248, val_loss=19.4990]



Epoch 9: 100%|█████████████████████████████████████████████████████| 109/109 [00:06<00:00, 17.17batch/s, loss=85.8649, val_loss=22.1638]
