

Epoch 0: 100%|████████████████████████████████████████████████████| 109/109 [00:06<00:00, 16.29batch/s, loss=107.3449, val_loss=28.1733]


Epoch 1: 100%|█████████████████████████████████████████████████████| 109/109 [00:06<00:00, 17.06batch/s, loss=73.5506, val_loss=24.8131]


Epoch 2: 100%|█████████████████████████████████████████████████████| 109/109 [00:06<00:00, 17.05batch/s, loss=66.6984, val_loss=25.4644]


Epoch 3: 100%|█████████████████████████████████████████████████████| 109/109 [00:06<00:00, 16.66batch/s, loss=66.9983, val_loss=26.3937]


Epoch 4: 100%|█████████████████████████████████████████████████████| 109/109 [00:06<00:00, 16.75batch/s, loss=70.2066, val_loss=25.6899]



Epoch 5: 100%|█████████████████████████████████████████████████████| 109/109 [00:06<00:00, 15.97batch/s, loss=69.7554, val_loss=24.3568]


Epoch 6: 100%|█████████████████████████████████████████████████████| 109/109 [00:06<00:00, 16.57batch/s, loss=74.3404, val_loss=22.4357]


Epoch 7: 100%|█████████████████████████████████████████████████████| 109/109 [00:06<00:00, 16.48batch/s, loss=78.0652, val_loss=21.6113]



Epoch 8: 100%|█████████████████████████████████████████████████████| 109/109 [00:06<00:00, 16.33batch/s, loss=75.3886, val_loss=19.9923]



Epoch 9: 100%|█████████████████████████████████████████████████████| 109/109 [00:06<00:00, 16.60batch/s, loss=78.4546, val_loss=20.1592]
